stop_id,stop_name,stop_lat,stop_lon
ОПИТНА СТАНЦИЯ,1206,42.741458,23.404725
ОПИТНА СТАНЦИЯ,1207,42.622598,23.450436
ОРАНЖЕРИЯТА - ПО ЖЕЛАНИЕ,1208,42.801692,23.33743
ОРАНЖЕРИЯТА - ПО ЖЕЛАНИЕ,1209,42.802019,23.336832
МОСТА НА БАНИШКА РЕКА - ПО ЖЕЛАНИЕ,1210,42.618273,23.357989
МОСТА НА БАНИШКА РЕКА - ПО ЖЕЛАНИЕ,1211,42.61843,23.358135
РАЗКЛОНА ЗА Д.БОГРОВ,1212,42.705386,23.486647
РАЗКЛОНА ЗА Д.БОГРОВ,1213,42.706098,23.489573
РАЗКЛОНА ЗА ВОЛУЯК,1214,42.775109,23.250499
РАЗКЛОНА ЗА ВОЛУЯК,1215,42.775056,23.250197
РАЗКЛОНА ЗА ЛИФТ ДРАГАЛЕВЦИ,1216,42.622245,23.304756
РАЗКЛОНА ЗА ЛИФТ ДРАГАЛЕВЦИ,1217,42.622309,23.30425
ОЦ ОВЧА КУПЕЛ,1218,42.688664,23.262299
ОЦ ОВЧА КУПЕЛ,1219,42.688088,23.263198
УЛ. ЗОРНИЦА,1220,42.763857,23.243909
УЛ. ЗОРНИЦА,1221,42.763364,23.243862
УЛ. НАДЕЖДА,1222,42.753927,23.434799
УЛ. НАДЕЖДА,1223,42.754159,23.434753
29-ТИ ДКЦ,1224,42.66387,23.296883
УЛ. ПАТРИАРХ ДАМЯН,1225,42.733379,23.301807
29-ТИ ДКЦ,1226,42.664306,23.297698
КВ. ФАКУЛТЕТА,1227,42.698163,23.272165
КВ. ФАКУЛТЕТА,1228,42.698251,23.272284
ЯЗ. ПАСАРЕЛ - ПО ЖЕЛАНИЕ,1229,42.549187,23.480196
